Item Code,Description
E90,Current Operations - Liquor Stores
E91,Current Operations - Water Utilities
E92,Current Operations - Electric Utilities
E93,Current Operations - Gas Utilities
E94,Current Operations - Transit Utilities
F01,"Capital Expenditures - Air Transportation (EFFECTIVE 2022)
(Formerly: Construction - Air Transportation; now includes all Capital Expenditures)"
F03,"Capital Expenditures - Miscellaneous Commercial Activities, NEC (EFFECTIVE 2022)
(Formerly: Construction - Miscellaneous Commercial Activities, NEC; now includes all Capital Expenditures)"
F04,"Capital Expenditures - Correctional Institutions (EFFECTIVE 2022)
(Formerly: Construction - Correctional Institutions; now includes all Capital Expenditures)"
F05,"Capital Expenditures - Corrections (EFFECTIVE 2022)
(Formerly: Construction - Corrections, Other; now includes all Capital Expenditures)"
F12,"Capital Expenditures - Elementary & Secondary Education (EFFECTIVE 2022)
(Formerly: Construction - Elementary & Secondary Education; now includes all Capital Expenditures)"
F16,"Capital Expenditures - Higher Education, Auxiliary Enterprises (EFFECTIVE 2022)
(Formerly: Construction - Higher Education, Auxiliary Enterprises; now includes all Capital Expenditures)"
F18,"Capital Expenditures - Higher Education, Other (EFFECTIVE 2022)
(Formerly: Construction - Higher Education, Other; now includes all Capital Expenditures)"
F21,"Capital Expenditures - Education, Other (EFFECTIVE 2022)
(Formerly: Construction - Education, Other; now includes all Capital Expenditures)"
F22,"Capital Expenditures - Social Insurance Administration (EFFECTIVE 2022)
(Formerly: Construction - Social Insurance Administration; now includes all Capital Expenditures)"
F23,"Capital Expenditures - Financial Administration (EFFECTIVE 2022)
(Formerly: Construction - Financial Administration; now includes all Capital Expenditures)"
F25,"Capital Expenditures - Judicial & Legal (EFFECTIVE 2022)
(Formerly: Construction - Judicial & Legal; now includes all Capital Expenditures)"
F26,"Capital Expenditures - Legislative (EFFECTIVE 2022)
(Formerly: Construction - Legislative; now includes all Capital Expenditures)"
F27,"Capital Expenditures - Environmental Health (EFFECTIVE 2022)
(Formerly: Construction - Environmental Health (NEW for 2007); now includes all Capital Expenditures)"
F29,"Capital Expenditures - Central Staff Services (EFFECTIVE 2022)
(Formerly: Construction - Central Staff Services; now includes all Capital Expenditures)"
F31,"Capital Expenditures - General Public Buildings (EFFECTIVE 2022)
(Formerly: Construction - General Public Buildings; now includes all Capital Expenditures)"
F32,"Capital Expenditures - Health, Other (EFFECTIVE 2022)
(Formerly: Construction - Health, Other; now includes all Capital Expenditures)"
F36,"Capital Expenditures - Own Hospitals (EFFECTIVE 2022)
(Formerly: Construction - Own Hospitals; now includes all Capital Expenditures)"
F38,"DISCONTINUED as of 2005 (Formerly: Construction - Hospitals, Other)"
F44,"Capital Expenditures - Regular Highways (EFFECTIVE 2022)
(Formerly: Construction - Regular Highways; now includes all Capital Expenditures)"
F45,"Capital Expenditures - Toll Highways (EFFECTIVE 2022)
(Formerly: Construction - Toll Highways; now includes all Capital Expenditures)"
F50,"Capital Expenditures - Housing & Community Development (EFFECTIVE 2022)
(Formerly: Construction - Housing & Community Development; now includes all Capital Expenditures)"
F52,"Capital Expenditures - Libraries (EFFECTIVE 2022)
(Formerly: Construction - Libraries; now includes all Capital Expenditures)"
F54,"Capital Expenditures - Agriculture, Other (EFFECTIVE 2022)
(Formerly: Construction - Agriculture, Other (Not used in 2005-2006); now includes all Capital Expenditures)"
F55,"Capital Expenditures - Fish & Game (EFFECTIVE 2022)
(Formerly: Construction - Fish & Game; now includes all Capital Expenditures)"
F56,"Capital Expenditures - Forestry (EFFECTIVE 2022)
(Formerly: Construction - Forestry; now includes all Capital Expenditures)"
F59,"Capital Expenditures - - Natural Resources, Other (EFFECTIVE 2022)
(Formerly: Construction - Natural Resources, Other; now includes all Capital Expenditures)"
F60,"Capital Expenditures - Parking Facilities (EFFECTIVE 2022)
(Formerly: Construction - Parking Facilities (NEW for 2005); now includes all Capital Expenditures)"
F61,"Capital Expenditures - Parks & Recreation (EFFECTIVE 2022)
(Formerly: Construction - Parks & Recreation; now includes all Capital Expenditures)"
F62,"Capital Expenditures - Police Protection (EFFECTIVE 2022)
(Formerly: Construction - Police Protection; now includes all Capital Expenditures)"
F66,"Capital Expenditures - Protective Inspection & Regulation, NEC (EFFECTIVE 2022)
(Formerly: Construction - Protective Inspection & Regulation, NEC; now includes all Capital Expenditures)"
F77,"Capital Expenditures - Welfare Institutions (EFFECTIVE 2022)
(Formerly: Construction - Welfare Institutions; now includes all Capital Expenditures)"
F79,"Capital Expenditures - Welfare, Other (EFFECTIVE 2022)
(Formerly: Construction - Welfare, Other; now includes all Capital Expenditures)"
F80,"Capital Expenditures - Sewerage (EFFECTIVE 2022)
(Formerly: Construction - Sewerage; now includes all Capital Expenditures)"
F81,"Capital Expenditures - Solid Waste Management (EFFECTIVE 2022)
(Formerly: Construction - Solid Waste Management; now includes all Capital Expenditures)"
F85,"Capital Expenditures - Other Veterans Services (EFFECTIVE 2022)
(Formerly: Construction - Other Veterans Services; now includes all Capital Expenditures)"
F87,"Capital Expenditures - Sea and Inland Port Facilities (EFFECTIVE 2022)
(Formerly: Construction - Sea and Inland Port Facilities; now includes all Capital Expenditures)"
F89,"Capital Expenditures - General (EFFECTIVE 2022)
(Formerly: Construction - General; now includes all Capital Expenditures)"
F90,"Capital Expenditures - Liquor Stores (EFFECTIVE 2022)
(Formerly: Construction - Liquor Stores; now includes all Capital Expenditures)"
F91,"Capital Expenditures - Water Utilities (EFFECTIVE 2022)
(Formerly: Construction - Water Utilities; now includes all Capital Expenditures)"
F92,"Capital Expenditures - Electric Utilities (EFFECTIVE 2022)
(Formerly: Construction - Electric Utilities; now includes all Capital Expenditures)"
F93,"Capital Expenditures - Gas Utilities (EFFECTIVE 2022)
(Formerly: Construction - Gas Utilities; now includes all Capital Expenditures)"
F94,"Capital Expenditures - Transit Utilities (EFFECTIVE 2022)
(Formerly: Construction - Transit Utilities; now includes all Capital Expenditures)"
G01,"DISCONTINUED as of 2022, see F01 (Formerly: Other Capital Outlay - Air Transportation"
G03,"DISCONTINUED as of 2022, see F03 (Formerly: Other Capital Outlay - Miscellaneous Commercial Activities, NEC)"
G04,"DISCONTINUED as of 2022, see F04 (Formerly: Other Capital Outlay - Correctional Institutions)"
G05,"DISCONTINUED as of 2022, see F05 (Formerly: Other Capital Outlay - Corrections, Other)"
G12,"DISCONTINUED as of 2022, see F12 (Formerly: Other Capital Outlay - Elementary and Secondary Education)"
G16,"DISCONTINUED as of 2022, see F16 (Formerly: Other Capital Outlay - Higher Education, Auxiliary Enterprises)"
G18,"DISCONTINUED as of 2022, see F18 (Formerly: Other Capital Outlay - Other Higher Education)"
G21,"DISCONTINUED as of 2022, see F21 (Formerly: Other Capital Outlay - Education, Other)"
G22,"DISCONTINUED as of 2022, see F22 (Formerly: Other Capital Outlay - Social Insurance Administration)"
G23,"DISCONTINUED as of 2022, see F23 (Formerly: Other Capital Outlay - Financial Administration)"
G25,"DISCONTINUED as of 2022, see F25 (Formerly: Other Capital Outlay - Judicial)"
G26,"DISCONTINUED as of 2022, see F26 (Formerly: Other Capital Outlay - Legislative)"
G27,"DISCONTINUED as of 2022, see F27 (Formerly: Other Capital Outlay - Environmental Health (NEW for 2007))"
G29,"DISCONTINUED as of 2022, see F29 (Formerly: Other Capital Outlay - Central Staff)"
G31,"DISCONTINUED as of 2022, see F31 (Formerly: Other Capital Outlay - General Public Building)"
G32,"DISCONTINUED as of 2022, see F32 (Formerly: Other Capital Outlay - Health - Other)"
G36,"DISCONTINUED as of 2022, see F36 (Formerly: Other Capital Outlay - Own Hospitals)"
G38,"DISCONTINUED as of 2005 (Formerly: Other Capital Outlay - Hospitals, Other)"
G44,"DISCONTINUED as of 2022, see F44 (Formerly: Other Capital Outlay - Regular Highways)"
G45,"DISCONTINUED as of 2022, see F45 (Formerly: Other Capital Outlay - Toll Highways)"
G50,"DISCONTINUED as of 2022, see F50 (Formerly: Other Capital Outlay - Housing & Community Development)"
G52,"DISCONTINUED as of 2022, see F52 (Formerly: Other Capital Outlay - Libraries)"
G54,"DISCONTINUED as of 2022, see F54 (Formerly: Other Capital Outlay - Agriculture, Other (Not used in 2005-2006))"
G55,"DISCONTINUED as of 2022, see F55 (Formerly: Other Capital Outlay - Fish & Game)"
G56,"DISCONTINUED as of 2022, see F56 (Formerly: Other Capital Outlay - Forestry)"
G59,"DISCONTINUED as of 2022, see F59 (Formerly: Other Capital Outlay - Natural Resource - Other)"
G60,"DISCONTINUED as of 2022, see F60 (Formerly: Other Capital Outlay - Parking Facilities (NEW for 2005))"
G61,"DISCONTINUED as of 2022, see F61 (Formerly: Other Capital Outlay - Parks & Recreation)"
G62,"DISCONTINUED as of 2022, see F62 (Formerly: Other Capital Outlay - Police Protection)"
G66,"DISCONTINUED as of 2022, see F66 (Formerly: Other Capital Outlay - Protective Inspection & Regulation, NEC)"
G77,"DISCONTINUED as of 2022, see F77 (Formerly: Other Capital Outlay - Welfare Institutions)"
G79,"DISCONTINUED as of 2022, see F79 (Formerly: Other Capital Outlay - Welfare, Other)"
G80,"DISCONTINUED as of 2022, see F80 (Formerly: Other Capital Outlay - Sewerage)"
G81,"DISCONTINUED as of 2022, see F81 (Formerly: Other Capital Outlay - Solid Waste Management)"
G85,"DISCONTINUED as of 2022, see F85 (Formerly: Other Capital Outlay - Other Veterans Services)"
G87,"DISCONTINUED as of 2022, see F87 (Formerly: Other Capital Outlay - Sea and Inland Port Facilities)"
G89,"DISCONTINUED as of 2022, see F89 (Formerly: Other Capital Outlay - General, Other)"
G90,"DISCONTINUED as of 2022, see F90 (Formerly: Other Capital Outlay - Liquor Stores)"
G91,"DISCONTINUED as of 2022, see F91 (Formerly: Other Capital Outlay - Water Utilities)"
G92,"DISCONTINUED as of 2022, see F92 (Formerly: Other Capital Outlay - Electric Utilities)"
G93,"DISCONTINUED as of 2022, see F93 (Formerly: Other Capital Outlay - Gas Utilities)"
G94,"DISCONTINUED as of 2022, see F94 (Formerly: Other Capital Outlay - Transit Utilities)"
I89,Interest on General Debt
I91,Water Utilities - Interest on Debt
I92,Electric Utilities - Interest on Debt
I93,Gas Utilities - Interest on Debt
I94,Transit Utilities - Interest on Debt
J19,Assistance and Subsidies - Scholarships and Other Subsidies - Education (NEW for 2005; previously under E19)
J67,"DISCONTINUED as of 2022, see E79 (Formerly: Assistance and Subsidies - Public Welfare, Federal Categorical Assistance Programs (NEW for 2005; previously under E67)"
J68,"DISCONTINUED as of 2022, see E79 (Formerly: Assistance and Subsidies - Public Welfare, Cash Assistance Programs, Other (NEW for 2005; previously under E68)"
J85,"DISCONTINUED as of 2019, see E85 (Formerly: Assistance and Subsidies - Veterans' Bonuses (NEW for 2005; previously under E84)"
K01,"DISCONTINUED as of 2022, see F01 (Formerly: Equipment Only - Air Transportation)"
K03,"DISCONTINUED as of 2022, see F03 (Formerly: Equipment Only - Miscellaneous Commercial Activities, NEC)"
K04,"DISCONTINUED as of 2022, see F04 (Formerly: Equipment Only - Correctional Institutions)"
K05,"DISCONTINUED as of 2022, see F05 (Formerly: Equipment Only - Correction, Other)"
K12,"DISCONTINUED as of 2022, see F12 (Formerly: Equipment Only - G12 Subcode)"
K16,"DISCONTINUED as of 2022, see F16 (Formerly: Equipment Only - Higher Education, Auxiliary)"
K18,"DISCONTINUED as of 2022, see F18 (Formerly: Equipment Only - Higher Education, Other)"
K21,"DISCONTINUED as of 2022, see F21 (Formerly: Equipment Only - Education, Other)"
K22,"DISCONTINUED as of 2022, see F22 (Formerly: Equipment Only - Social Insurance Administration)"
K23,"DISCONTINUED as of 2022, see F23 (Formerly: Equipment Only - Financial Administration)"
K25,"DISCONTINUED as of 2022, see F25 (Formerly: Equipment Only - Judicial and Legal)"
K26,"DISCONTINUED as of 2022, see F26 (Formerly: Equipment Only - Legislative)"
K27,"DISCONTINUED as of 2022, see F27 (Formerly: Equipment Only - Environmental Health (NEW for 2007))"
K29,"DISCONTINUED as of 2022, see F29 (Formerly: Equipment Only - Central Staff Services)"
K31,"DISCONTINUED as of 2022, see F31 (Formerly: Equipment Only - General Public Building)"
K32,"DISCONTINUED as of 2022, see F32 (Formerly: Equipment Only - Health, Other)"
K36,"DISCONTINUED as of 2022, see F36 (Formerly: Equipment Only - Own Hospitals)"
K38,"DISCONTINUED as of 2005 (Formerly: Equipment Only - Enterprise Hospitals, Other)"
K44,"DISCONTINUED as of 2022, see F44 (Formerly: Equipment Only - Regular Highways)"
K45,"DISCONTINUED as of 2022, see F45 (Formerly: Equipment Only - Toll Highways)"
K50,"DISCONTINUED as of 2022, see F50 (Formerly: Equipment Only - Housing & Community Development)"
K52,"DISCONTINUED as of 2022, see F52 (Formerly: Equipment Only - Libraries)"
K54,"DISCONTINUED as of 2022, see F54 (Formerly: Equipment Only - Agriculture, Other (Not used in 2005-2006))"
K55,"DISCONTINUED as of 2022, see F55 (Formerly: Equipment Only - Fish & Game)"
K56,"DISCONTINUED as of 2022, see F56 (Formerly: Equipment Only - Forestry)"
K59,"DISCONTINUED as of 2022, see F59 (Formerly: Equipment Only - Natural Resources, Other)"
K60,"DISCONTINUED as of 2022, see F60 (Formerly: Equipment Only - Parking Facilities (NEW for 2005))"
K61,"DISCONTINUED as of 2022, see F61 (Formerly: Equipment Only - Parks & Recreation)"
K62,"DISCONTINUED as of 2022, see F62 (Formerly: Equipment Only - Police Protection)"
K66,"DISCONTINUED as of 2022, see F66 (Formerly: Equipment Only - Protective Inspection and Regulation, NEC)"
K77,"DISCONTINUED as of 2022, see F77 (Formerly: Equipment Only - Welfare Institutions)"
K79,"DISCONTINUED as of 2022, see F79 (Formerly: Equipment Only - Welfare, Other)"
K80,"DISCONTINUED as of 2022, see F80 (Formerly: Equipment Only - Sewerage)"
K81,"DISCONTINUED as of 2022, see F81 (Formerly: Equipment Only - Solid Waste Management)"
K85,"DISCONTINUED as of 2022, see F85 (Formerly: Equipment Only - Other Veterans Services)"
K87,"DISCONTINUED as of 2022, see F87 (Formerly: Equipment Only - Sea and Inland Port Facilities)"
K89,"DISCONTINUED as of 2022, see F89 (Formerly: Equipment Only - General, Other)"
K90,"DISCONTINUED as of 2022, see F90 (Formerly: Equipment Only - Liquor Stores)"
K91,"DISCONTINUED as of 2022, see F91 (Formerly: Equipment Only - Water Utilities)"
K92,"DISCONTINUED as of 2022, see F92 (Formerly: Equipment Only - Electric Utilities)"
K93,"DISCONTINUED as of 2022, see F93 (Formerly: Equipment Only - Gas Utilities)"
K94,"DISCONTINUED as of 2022, see F94 (Formerly: Equipment Only - Transit Utilities)"
M01,Intergovernmental to Local NEC - Air Transportation
M04,Intergovernmental to Local NEC - Correctional Institutions (NEW for 2005)
M05,"Intergovernmental to Local NEC - Corrections, Other"
M12,Intergovernmental to Local NEC - Elementary and Secondary Education
M18,Intergovernmental to Local NEC - Higher Education
M21,Intergovernmental to Local NEC - Education
M23,Intergovernmental to Local NEC - Financial Administration
M25,Intergovernmental to Local NEC - Judicial and Legal
M27,Intergovernmental to Local NEC - Environmental Health (NEW for 2007)
M29,Intergovernmental to Local NEC - Central Staff Services
M30,Intergovernmental to Local NEC - General Support
M32,Intergovernmental to Local NEC - Health
M36,Intergovernmental to Local NEC - Hospitals (NEW for 2005)
M38,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Local NEC - Hospitals)
M44,Intergovernmental to Local NEC - Regular Highways
M50,Intergovernmental to Local NEC - Housing & Community Development
M52,Intergovernmental to Local NEC - Libraries
M54,Intergovernmental to Local NEC - Agriculture) (Not used in 2005-2006)
M55,Intergovernmental to Local NEC - Fish & Game
M56,Intergovernmental to Local NEC - Forestry
M59,Intergovernmental to Local NEC - Natural Resources
M60,Intergovernmental to Local NEC - Parking Facilities (NEW for 2005)
M61,Intergovernmental to Local NEC - Parks & Recreation
M62,Intergovernmental to Local NEC - Police Protection
M66,Intergovernmental to Local NEC - Protective Inspection & Regulations
M67,"DISCONTINUED as of 2022, see M79 (Formerly: Intergovernmental to Local NEC - Welfare, Categorical Assistance Programs)"
M68,"DISCONTINUED as of 2022, see M79 (Formerly: Intergovernmental to Local NEC - Welfare, Cash Assistance Programs)"
M79,Intergovernmental to Local NEC - Welfare
M80,Intergovernmental to Local NEC - Sewerage
M81,Intergovernmental to Local NEC - Solid Waste Management
M87,Intergovernmental to Local NEC - Sea and Inland Port Facilities
M89,Intergovernmental to Local NEC - General
M91,"DISCONTINUED as of 2022, see M89 (Formerly: Intergovernmental to Local NEC - Water Utilities)"
M92,"DISCONTINUED as of 2022, see M89 (Formerly: Intergovernmental to Local NEC - Electric Utilities)"
M93,"DISCONTINUED as of 2022, see M89 (Formerly: Intergovernmental to Local NEC - Gas Utilities)"
M94,"DISCONTINUED as of 2022, see M89 (Formerly: Intergovernmental to Local NEC - Transit Utilities)"
N01,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Air Transportation)
N05,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Corrections)
N12,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Elementary and Secondary Education)
N18,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Higher Education)
N21,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Education, Other)"
N23,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Financial Administration)
N25,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Judicial and Legal)
N29,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Central Staff Services)
N30,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - General Support)
N32,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Health, Other)"
N38,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Hospitals, Other)"
N44,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Regular Highways)
N50,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Housing & Community Development)
N52,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Libraries)
N54,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Agriculture, Other)"
N55,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Fish & Game)
N56,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Forestry)
N59,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Natural Resources, Other)"
N61,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Parks & Recreation)
N62,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Police Protection)
N66,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Protective Inspection and Regulation, NEC)"
N67,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Welfare, Categorical Assistance Programs)"
N68,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Welfare, Cash Assistance Programs)"
N79,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Welfare, Other)"
N80,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Sewerage)
N81,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Solid Waste Management)
N87,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Sea and Inland Port Facilities)
N89,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - General, Other)"
N91,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Water Utilities)
N92,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Electric Utilities)
N93,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Gas Utilities)
N94,DISCONTINUED as of 2005 (Formerly: Intergovernmental to General Purpose - Transit Utilities)
Q12,Intergovernmental to School District - Elementary and Secondary Education
Q18,"Intergovernmental to School District - Higher Education, Other"
R01,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Air Transportation)
R12,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Elementary and Secondary Education)
R18,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Higher Education, Other)"
R30,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - General Support)
R32,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Health, Other)"
R38,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Hospitals, Other)"
R44,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Regular Highways)
R50,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Housing & Community Development)
R52,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Libraries)
R54,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Agriculture, Other)"
R55,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Fish & Game)
R56,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Forestry)
R59,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Natural Resources, Other)"
R61,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Parks & Recreation)
R62,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Police Protection)
R66,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Protective Inspection and Regulation, NEC)"
R79,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Welfare, Other)"
R80,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Sewerage)
R81,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Solid Waste Management)
R87,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Sea and Inland Port Facilities)
R89,"DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - General, Other)"
R91,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Water Utilities)
R92,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Electric Utilities)
R93,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Gas Utilities)
R94,DISCONTINUED as of 2005 (Formerly: Intergovernmental to Special District - Transit Utilities)
S67,"DISCONTINUED as of 2022, see S89 (Formerly: Intergovernmental to Federal - Welfare, Categorical Assistance Programs"
S74,"DISCONTINUED as of 2007; see E73 (Formerly: Intergovernmental to Federal - Welfare, Vendor Payments for Medical Care)"
S89,"Intergovernmental to Federal - General, Other"
T01,Tax - Property
T09,Tax - General Sales
T10,Tax - Alcoholic Beverage Sales
T11,Tax - Amusement
T12,Tax - Insurance Premiums
T13,Tax - Motor Fuels Sales
